Date,Year,Month,Day,Weekday,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2015-01-02,2015,1,2,Friday,36.11,37.1,35.88,36.57,958400,36.57,0.006883259969730382,34.952857142857134,35.03979999999997
2015-01-05,2015,1,5,Monday,36.43,37.68,35.89,37.15,1312300,37.15,0.015860044733245537,35.31999999999999,35.03939999999997
2015-01-06,2015,1,6,Tuesday,37.04,37.93,36.37,37.77,1571300,37.77,0.016689068813439345,35.750714285714274,35.05099999999997
2015-01-07,2015,1,7,Wednesday,38.0,38.83,37.04,37.21,752400,37.21,-0.014826618122952828,36.04357142857142,35.075199999999974
2015-01-08,2015,1,8,Thursday,37.29,38.4,36.71,37.96,1201900,37.96,0.02015587257332041,36.32928571428571,35.104999999999976
2015-01-09,2015,1,9,Friday,37.92,38.82,37.55,38.25,1097500,38.25,0.0076396449557862844,36.54142857142857,35.145199999999974
2015-01-12,2015,1,12,Monday,38.15,38.49,36.67,36.75,908700,36.75,-0.039215686274509776,36.61,35.15839999999997
2015-01-13,2015,1,13,Tuesday,36.75,37.28,36.55,37.16,1374500,37.16,0.01115645843298263,36.72571428571428,35.18519999999998
2015-01-14,2015,1,14,Wednesday,36.59,37.32,36.25,36.82,806500,36.82,-0.00914962739461822,36.800714285714285,35.19439999999998
2015-01-15,2015,1,15,Thursday,37.8,37.8,35.9,36.09,747400,36.09,-0.01982616915499169,36.83214285714286,35.187799999999974
2015-01-16,2015,1,16,Friday,36.46,37.29,35.99,36.98,570600,36.98,0.024660553779039418,36.915000000000006,35.20039999999997
2015-01-20,2015,1,20,Tuesday,36.0,36.8,35.7,36.06,461500,36.06,-0.024878263394637057,36.9257142857143,35.23739999999997
2015-01-21,2015,1,21,Wednesday,36.0,36.21,35.12,35.53,570500,35.53,-0.014697797387958622,36.90142857142858,35.26839999999997
